Headword,POS
tree,Noun
night,Noun
hamburger,Noun
nephew,Noun
castle,Noun
humble,Adjective
cup,Noun
english,Noun
eyeglasses,Noun
tie,Noun
dentist,Noun
sandwich,Noun
monkey,Noun
chair,Noun
candy_1,Noun
wander,Verb
scientist,Noun
parachute,Verb
read,Verb
cat,Noun
room,Noun
island,Noun
paper,Noun
book,Noun
shirt,Noun
horse,Noun
rock,Noun
dinosaur,Noun
coffee,Noun
cow,Noun
butter,Noun
trash,Noun
moon,Noun
shorts,Noun
scissors,Noun
soup,Noun
bird,Noun
spaghetti,Noun
snake,Noun
bowtie,Noun
camping,Noun
skirt,Noun
stars,Noun
surf,Verb
wolf,Noun
tiger,Noun
milk,Noun
policeman,Noun
tennis,Noun
computer,Noun
mountain,Noun
dog,Noun
snow,Noun
pants,Noun
dormitory,Noun
bake_1,Verb
waiter,Noun
street,Noun
office,Noun
bag,Noun
shrimp,Noun
diamond,Noun
language,Noun
strawberry,Noun
lemon,Noun
peach,Noun
promise,Verb
brush,Noun
month,Noun
pie,Noun
radio,Noun
death,Noun
cloud,Noun
asia,Noun
devil,Noun
music,Noun
pride,Noun
drawer,Noun
lettuce,Noun
soap,Noun
frenchfries,Noun
deodorant,Noun
plunger,Noun
shovel,Noun
razor,Noun
prison,Noun
shower,Noun
diaper,Noun
bowling,Noun
sandals,Noun
electrician,Noun
volleyball,Noun
surgeon,Noun
cheat_1,Verb
turtle,Noun
sheep,Noun
science,Noun
student,Noun
icecream,Noun
cereal,Noun
biology,Noun
kitchen,Noun
golf,Noun
swing,Verb
pillow,Noun
orange,Noun
cheese,Noun
umbrella,Noun
goat,Noun
curtain,Noun
gloves,Noun
football,Noun
dumb,Adjective
playground,Noun
kite,Noun
water,Noun
pig,Noun
teacher,Noun
dancer,Noun
fishing,Noun
history,Noun
spoon,Noun
bathroom,Noun
fireman,Noun
telephone,Noun
library,Noun
picture,Noun
microwave,Noun
gorilla,Noun
hat,Noun
whistle,Noun
tornado,Noun
windmill,Noun
tobacco,Noun
lazy,Adjective
bathroom,Noun
tea,Noun
pencil,Noun
cafeteria,Noun
shoulder,Noun
hair,Noun
shoes,Noun
bread,Noun
elephant,Noun
salad,Noun
necklace,Noun
perfume,Noun
rollerskating,Noun
heaven,Noun
magazine,Noun
guitar,Noun
turkey,Noun
paintbrush,Noun
popcorn,Noun
africa,Noun
carrot,Noun
corn_1,Noun
pepper,Noun
balloon,Noun
glove,Noun
coconut,Noun
grapes,Noun
mop,Noun
calendar,Noun
banana,Noun
homework,Noun
soccer,Noun
verb,Noun
insult,Verb
lawyer,Noun
desert,Noun
mouse,Noun
psychologist,Noun
egg,Noun
lion,Noun
scarf,Noun
engineer,Noun
evaluate,Verb
bridesmaid,Noun
flower,Noun
witch,Noun
napkin,Noun
doctor,Noun
neutral,Adjective
garage,Noun
underwear,Noun
bracelet,Noun
table,Noun
clown,Noun
math,Noun
bra,Noun
piano,Noun
mechanic,Noun
grass,Noun
blanket,Noun
socks,Noun
mirror,Noun
river,Noun
belt,Noun
bed,Noun
onion,Noun
earthquake,Noun
fish,Noun
fox,Noun
window,Noun
baseball,Noun
